Tweet ID,clean_text
1990609122157531411,program makan bergizi gratis siswa lebih fokus
1990608974526533780,program mbg papua tingkatkan gizi anak amp sejahterakan masyarakat
1990607541123101093,bangga bersama
1990606675108352379,fokus kesehatan masa depan bangsa bapak prabowo subianto berkomitmen penuh terhadap program mbg makan bergizi gratis
1990604452592816152,viral cucun ahmad sebut mbg tak perlu ahli gizi kronologi hingga permintaan maaf wakil ketua dpr
1990601180033266054,program mbg bukan sekadar makan gratis tetapi investasi gizi masa depan bangsa dapur inklusif hingga zonasi solo konsisten mbg hadir membentuk generasi sehat cerdas berdaya saing
1990600749953515895,menjadi wakil rakyat otaknya harus bergizi
1990600457430184167,investasi masa depan dimulai generasi sehat program makan bergizi gratis anak anak indonesia adalah langkah nyata memastikan tumbuh baik siap menghadapi tantangan
1990600362915737623,menu mbg sd adikku pagi 18 nov 2025 8 30
1990594206063300985,dua sd negeri tambora jakarta barat ratusan siswa kini bisa menikmati makan gratis setiap hari bukan program pemerintah melainkan inisiatif bertajuk makan bahagia gratis mbg ag
1990590860149600507,kepala badan gizi nasional bgn dadan hindayana menyebut satu yayasan mitra makan bergizi gratis mbg maksimal mengelola 10 dapur satuan pelayanan pemenuhan gizi sppg provinsi sama baca
1990590582063051029,wabup deli serdang resmikan dapur sppg ujung rambe dorong gizi anak ekonomi lokal
1990590520780075123,wakil ketua dpr cucun sebut anak muda arogan hingga klaim tak perlu ahli gizi program mbg
1990588912621027362,makan bergizi gratis bukan hanya memenuhi gizi anak tetapi menggerakkan ekonomi rakyat melalui penyerapan produk lokal membangun ekosistem inklusif menghadirkan manfaat berkelanjutan kesejahteraan masyarakat
1990586249057612211,wakil ketua dpr cucun ahmad syamsurijal akhirnya menyampaikan permintaan maaf setelah pernyataannya soal tidak perlu ahli gizi program makan bergizi gratis mbg viral menuai kritik luas ag
